,Student,Milestone,Time
384,tai,M10,73
385,tai,M11,139
386,tai,M12,21
387,tai,M13,699
388,tai,M14,0
389,tai,M15,29
390,tai,M16,5
391,kov,M0,0
392,kov,M1,108
393,kov,M2,331
394,kov,M3,634
395,kov,M4,138
396,kov,M5,83
397,kov,M6,0
398,kov,M7,343
399,kov,M8,0
400,kov,M9,0
401,kov,M10,22
402,kov,M11,237
403,kov,M12,14
404,kov,M13,361
405,kov,M14,0
406,kov,M15,31
407,kov,M16,24
408,xen,M0,0
409,xen,M1,0
410,xen,M2,105
411,xen,M3,0
412,xen,M4,120
413,xen,M5,542
414,xen,M6,0
415,xen,M7,81
416,xen,M8,191
417,xen,M9,0
418,xen,M10,0
419,xen,M11,3150
420,xen,M12,0
421,xen,M13,0
422,xen,M14,0
423,xen,M15,0
424,xen,M16,0
