,Student,Milestone,Attempts
404,bur,M13,5
405,bur,M14,0
406,bur,M15,1
407,bur,M16,1
408,bob,M0,1
409,bob,M1,4
410,bob,M2,1
411,bob,M3,4
412,bob,M4,2
413,bob,M5,1
414,bob,M6,4
415,bob,M7,2
416,bob,M8,14
417,bob,M9,5
418,bob,M10,1
419,bob,M11,1
420,bob,M12,0
421,bob,M13,4
422,bob,M14,2
423,bob,M15,1
424,bob,M16,2
